Company_Id,Status,Issue/ Comments
2611030,TECH,
3972138,TECH,
1877750,TECH,
2259212,TECH,
3834306,TECH,
1081614,TECH,
2702378,TECH,
4037190,TECH,
1963568,TECH,
2610950,TECH,
3824850,TECH,
3864072,TECH,
3236054,TECH,
3649658,TECH,
3879052,TECH,
2359716,TECH,
3488372,TECH,
1883190,TECH,
1887774,TECH,
1965238,TECH,
3583096,TECH,
3520222,TECH,
2701856,TECH,
1360408,TECH,
1972070,TECH,
1707090,TECH,
3875638,TECH,
1808016,TECH,
1850426,TECH,
3112732,TECH,
1892540,TECH,
1898820,TECH,
1736038,TECH,
1439988,TECH,
3722388,TECH,
3124654,TECH,
1641872,TECH,
1966288,TECH,
2611820,TECH,
3110294,TECH,
1643940,TECH,
2029592,TECH,
1360388,TECH,
3547824,TECH,
4022920,TECH,
3586480,TECH,
4023608,TECH,
1884442,TECH,
1819888,TECH,
793156,TECH,
1307852,TECH,
2248702,TECH,
1881478,TECH,
2032010,TECH,
1847546,TECH,
3310788,TECH,
1972316,TECH,
3596202,TECH,
1776346,TECH,
2257796,TECH,
1702870,TECH,
3154078,TECH,
4152452,TECH,
1613390,TECH,
2357230,TECH,
1845974,TECH,
1750032,TECH,
1959988,TECH,
2778292,TECH,
1833018,TECH,
1254598,TECH,
1959274,TECH,
4099290,TECH,
2700900,TECH,
1702954,TECH,
2028998,TECH,
2521260,TECH,
2249252,TECH,
2700948,TECH,
2257696,TECH,
1690290,TECH,
1685800,TECH,
3516876,TECH,
2700976,TECH,
2523580,TECH,
1779874,TECH,
3154286,TECH,
2522468,TECH,
3582698,TECH,
4233992,TECH,
1384140,TECH,
1817450,TECH,
2519838,TECH,
3829418,TECH,
1975508,TECH,
2609886,TECH,
3649546,TECH,
3111190,TECH,
3646862,TECH,
3763096,TECH,
3642488,TECH,
3576176,TECH,
1420486,TECH,
1886316,TECH,
1817376,TECH,
3642420,TECH,
3596514,TECH,
1817454,TECH,
2611346,TECH,
3597582,TECH,
3595538,TECH,
3649184,TECH,
4234116,TECH,
3678686,TECH,
1886816,TECH,
3499900,TECH,
1896682,Escalation,Escalation
3236086,TECH,
3660034,TECH,
3595526,TECH,
1127430,TECH,
3597352,TECH,
3654922,TECH,
1685642,TECH,
2439164,TECH,
1959112,TECH,
1366640,TECH,
3975542,TECH,
1845742,TECH,
1853490,TECH,
1902198,TECH,
2034422,TECH,
1839178,TECH,
2357538,TECH,
1832998,TECH,
2518496,TECH,
1844012,TECH,
1902128,TECH,
4233532,TECH,
995192,TECH,
1851186,TECH,
1883240,TECH,
1886638,TECH,
1729274,TECH,
1837318,TECH,
1961472,TECH,
2256264,TECH,
3113194,TECH,
1898738,TECH,
3110182,TECH,
4282192,TECH,
3202458,TECH,
1973278,TECH,
1840232,TECH,
1891822,TECH,
1851014,TECH,
1877454,TECH,
1881660,TECH,
2518740,TECH,
3596626,TECH,
3995798,TECH,
4124202,TECH,
2247342,TECH,
4033962,TECH,
3202442,TECH,
3698190,TECH,
1811006,TECH,
3582606,TECH,
4183958,TECH,
4183990,TECH,
4124120,TECH,
3653702,TECH,
4282172,TECH,
2033122,TECH,
4033978,TECH,
3834194,TECH,
3930236,TECH,
4282176,TECH,
3582674,TECH,
4183834,TECH,
3114176,TECH,
4124186,TECH,
4183882,TECH,
3930348,TECH,
3995778,TECH,
3995948,TECH,
3995968,TECH,
4124270,TECH,
3582482,TECH,
2902906,TECH,
1971894,TECH,
3663324,TECH,
1963528,TECH,
3364772,TECH,
